date,d18o,t2m,precip,RH
9/1/1979,-4.547000885,279.9728699,0.007553302,88.50821686
10/1/1979,-3.900083542,282.1697998,0.006897928,83.12530518
11/1/1979,-6.922870159,283.8642273,0.004792716,81.03429413
12/1/1979,-2.827766418,284.6188965,0.008156812,81.67118835
1/1/1980,-3.426091909,285.6433105,0.005136905,80.9364624
2/1/1980,-1.109730482,285.2941895,0.004901159,75.52668762
3/1/1980,-2.417534828,283.8007507,0.004222211,85.06860352
4/1/1980,-2.891597986,284.3208923,0.004849295,77.61961365
5/1/1980,-5.484779835,282.8274841,0.004672486,83.17134857
6/1/1980,-7.207307816,280.0874634,0.004137342,89.17388916
7/1/1980,-4.417469501,278.5940247,0.004971883,89.26213837
8/1/1980,-3.22840786,280.1051025,0.009354401,91.17665863
9/1/1980,-2.869587421,280.831543,0.012980174,93.16983032
10/1/1980,-3.760156155,282.0269775,0.005815854,81.26065826
11/1/1980,-4.367416382,284.2327576,0.003415959,73.16519165
12/1/1980,-2.102988243,286.7752686,0.002022701,68.89875793
1/1/1981,-2.40617466,289.1009216,0.00282188,71.35617828
2/1/1981,-2.520556211,289.0216064,0.001275386,74.77277374
3/1/1981,-2.508542538,285.0350037,0.005384439,81.87645721
4/1/1981,-4.595373631,283.5944824,0.006956865,84.18424225
5/1/1981,-4.910932064,281.5932312,0.003260367,83.47828674
6/1/1981,-5.249638081,279.200592,0.005344362,85.76304626
7/1/1981,-4.281077862,278.5499573,0.005398583,87.66797638
8/1/1981,-5.420071602,278.8514709,0.00662682,88.29336548
9/1/1981,-3.780197859,281.173584,0.005978519,88.20128632
10/1/1981,-2.898382902,282.3514099,0.005705053,83.09461212
11/1/1981,-0.919796407,283.7302246,0.004615907,76.82733154
12/1/1981,-2.057782412,285.2783203,0.003797868,79.38834381
1/1/1982,-0.573289216,287.1138,0.003448964,73.78289795
2/1/1982,-3.551101208,287.0503235,0.003092987,75.97558594
3/1/1982,-3.225266457,286.4473267,0.003953461,75.86240387
4/1/1982,-3.089963198,282.8063049,0.0030812,83.87154388
5/1/1982,-4.019163132,281.1154175,0.007866844,92.7458725
6/1/1982,-5.542115688,278.4794312,0.002352745,86.11027527
7/1/1982,-4.794068336,277.4938049,0.002640355,82.59200287
8/1/1982,-3.311796427,280.7010498,0.00386152,83.14832306
9/1/1982,-2.822028637,279.4826965,0.007833839,82.76081848
10/1/1982,-2.870293617,281.1524353,0.005219416,83.49555206
11/1/1982,-4.562935829,284.0722961,0.00574513,71.64776611
12/1/1982,-4.661746025,285.3206482,0.003500828,73.56612396
1/1/1983,-2.325657606,284.4178772,0.00571684,80.29189301
2/1/1983,-1.914150953,288.2228699,0.002147646,71.55952454
3/1/1983,-7.982487679,285.8090515,0.003031694,81.51772308
4/1/1983,-7.473284245,282.1786194,0.004573472,79.41903687
5/1/1983,-5.212375641,281.8771057,0.003816728,85.54051971
6/1/1983,-6.508508682,278.3683472,0.00632035,84.10942078
7/1/1983,-3.982250452,278.5464478,0.003052911,86.55725098
8/1/1983,-4.928729057,280.5053406,0.005450448,87.57205963
9/1/1983,-4.442949772,279.7612915,0.00765703,87.41475677
10/1/1983,-4.375622272,281.6849365,0.00263564,82.31000519
11/1/1983,-3.863751411,283.4040527,0.006589101,83.6164093
12/1/1983,-4.97977066,285.9324646,0.002315026,76.47819519
1/1/1984,-5.371911526,285.5145874,0.00486344,81.28943634
2/1/1984,-5.038412571,286.1810913,0.002109927,77.27815247
3/1/1984,-5.790364742,284.622406,0.003736574,80.27270508
4/1/1984,-4.336819172,282.644104,0.004007682,78.82242584
5/1/1984,-4.102365017,281.510376,0.003790796,82.4577179
6/1/1984,-3.838015079,280.3060913,0.004790359,85.46762085
7/1/1984,-6.382808208,277.9487,0.003701212,85.43884277
8/1/1984,-5.155246735,279.311676,0.008255824,91.83657074
9/1/1984,-6.490910053,279.2746277,0.006947435,88.49478912
10/1/1984,-1.772644877,281.8365479,0.006558454,81.0822525
11/1/1984,-2.880657673,284.276825,0.004212781,78.39271545
12/1/1984,-4.285834789,284.2539063,0.00762874,81.19159698
1/1/1985,-2.555013418,285.1778259,0.006867281,82.65914154
2/1/1985,-3.245269537,285.3470764,0.001973194,77.71361542
3/1/1985,-2.672254801,286.9269104,0.002432899,75.82211304
4/1/1985,-6.398172379,284.5166321,0.001388544,73.1747818
5/1/1985,-5.876960754,281.6972656,0.005118045,81.63858032
6/1/1985,-4.449135303,278.3154602,0.005450448,87.34377289
7/1/1985,-4.576280594,278.2766724,0.005292498,89.07797241
8/1/1985,-3.64636755,279.3469238,0.004950666,86.14672089
9/1/1985,-7.768041611,280.2479248,0.003050553,81.03237915
10/1/1985,-2.460798979,282.5171509,0.004450885,78.63442993
11/1/1985,-3.361528158,284.8851318,0.003613986,75.59383392
12/1/1985,-3.662872791,286.3627014,0.007468433,85.63643646
1/1/1986,-3.297095537,285.4740295,0.004691345,79.57633972
2/1/1986,-4.918622494,285.2554016,0.00501196,78.5557785
3/1/1986,-3.317949533,285.6521301,0.002788875,77.91696167
4/1/1986,-4.154580116,283.0390625,0.008154454,86.37500763
5/1/1986,-5.509011745,281.3728333,0.003755434,85.29305267
6/1/1986,-6.540503502,278.1655884,0.005353792,89.69184875
7/1/1986,-6.872947216,278.6504517,0.005987948,92.82644653
8/1/1986,-5.287041664,279.0066223,0.003786081,83.77562714
9/1/1986,-3.705252886,280.2267761,0.00648773,87.36103821
10/1/1986,-3.605389357,280.9020691,0.008963062,85.34101105
11/1/1986,-2.897530317,283.4604797,0.001935475,78.08961487
12/1/1986,-1.620336175,284.4654846,0.00792578,80.2036438
1/1/1987,-3.901562214,284.680603,0.00681306,85.74002838
2/1/1987,-3.922392845,285.5586853,0.005275995,73.59490204
3/1/1987,-4.725138664,283.2964783,0.005066182,81.92825317
4/1/1987,-3.15134716,283.546875,0.002880816,78.2085495
5/1/1987,-6.002099514,281.2952576,0.005544746,81.87453461
6/1/1987,-3.688650608,279.4015808,0.00386152,78.89532471
7/1/1987,-4.682168961,278.239624,0.003338163,81.32012939
8/1/1987,-3.988579988,279.2781677,0.003913383,84.74823761
9/1/1987,-3.824005127,280.944397,0.006249626,83.57420349
10/1/1987,-3.465251446,281.9300232,0.005273638,81.57527161
11/1/1987,-0.408243924,283.8659973,0.005820569,81.25682831
12/1/1987,-2.954962969,284.955658,0.00385209,77.93231201
1/1/1988,-2.827886343,287.8719788,0.00203213,72.51486206
2/1/1988,-4.478309631,285.9448242,0.002159433,76.6259079
3/1/1988,-4.992290974,285.8390198,0.001294245,67.63839722
4/1/1988,-3.497240305,284.1904297,0.001963764,76.76403046
5/1/1988,-4.91911459,282.7745972,0.004153844,84.93239594
6/1/1988,-4.707466602,280.9373169,0.004960096,86.02586365
7/1/1988,-4.111684799,279.9675598,0.00629206,86.96585846
8/1/1988,-3.295593977,279.9446411,0.005129833,85.69207001
9/1/1988,-3.7172575,281.8965149,0.005620184,82.87783813
10/1/1988,-3.091558218,281.0607605,0.015229192,91.28791809
11/1/1988,-3.33391428,284.8163757,0.004719635,75.31758881
12/1/1988,-2.934466124,286.7029724,0.003104775,76.74868011
1/1/1989,-3.437667131,287.5969238,0.00577342,69.88863373
2/1/1989,-2.862662554,288.4168091,0.002463546,76.05998993
3/1/1989,-4.097218037,286.7417908,0.002383392,76.97696686
4/1/1989,-4.979474545,284.7617188,0.003456036,79.35381317
5/1/1989,-6.434304237,281.4398499,0.003724787,84.58325958
6/1/1989,-6.733392715,278.5834656,0.002963327,80.97866058
7/1/1989,-6.780092716,278.6187134,0.00438016,83.70656586
8/1/1989,-5.776509285,278.9995728,0.004078406,85.98749542
9/1/1989,-3.297932625,281.06604,0.007147819,82.52677917
10/1/1989,-2.596148729,281.4098816,0.008385485,86.00476074
11/1/1989,-0.353090167,284.6506348,0.001713873,77.00958252
12/1/1989,-3.099974871,286.0611877,0.004875227,78.6421051
1/1/1990,-1.686112404,286.6712646,0.005339647,77.58125305
2/1/1990,-4.200386047,287.6339417,0.002998689,74.67301941
3/1/1990,-5.135370255,286.0488281,0.002892603,74.9703598
4/1/1990,-6.144087791,284.1639709,0.004031257,81.61171722
5/1/1990,-1.790168643,281.3657837,0.004802146,88.5235672
6/1/1990,-6.332530499,279.8811646,0.005924297,89.72829437
7/1/1990,-3.904208422,279.085968,0.007525012,89.93164063
8/1/1990,-5.431649208,278.2537537,0.00468663,86.82198334
9/1/1990,-3.139118671,280.612915,0.00529014,79.67993164
10/1/1990,-3.085990667,282.4660339,0.005148693,78.30830383
11/1/1990,-0.314760983,283.8272095,0.006049242,79.31160736
12/1/1990,-2.13542366,285.1408081,0.005400941,79.10442352
1/1/1991,-6.819715977,286.7981873,0.003840302,77.61194611
2/1/1991,-3.037147045,284.8851318,0.001079717,76.28635406
3/1/1991,-2.610220671,284.2027588,0.004335369,76.42256165
4/1/1991,-5.790588856,282.5841675,0.004670128,81.74408722
5/1/1991,-5.481419563,281.06427,0.002093425,80.66788483
6/1/1991,-4.261597633,280.8791504,0.006148255,87.18455505
7/1/1991,-5.109472752,279.2975464,0.005924297,88.78638458
8/1/1991,-5.049794197,278.7386169,0.009922549,94.00815582
9/1/1991,-3.971469164,280.2514343,0.006251984,85.42541504
10/1/1991,-1.163196206,282.3179016,0.005059109,77.87667847
11/1/1991,-2.839710712,282.8292542,0.00736942,82.71477509
12/1/1991,-4.49104023,285.4193726,0.004165632,81.55800629
1/1/1992,-2.770364523,284.5325012,0.003701212,84.11901855
2/1/1992,-5.85410738,286.4508362,0.002916178,75.09121704
3/1/1992,-2.226516962,286.0170898,0.001817602,77.0114975
4/1/1992,-6.714668751,283.6226807,0.004526323,81.46592712
5/1/1992,-6.719861507,281.4504089,0.004429667,81.97045135
6/1/1992,-5.882097721,278.0262756,0.004231641,83.57228088
7/1/1992,-4.722918034,279.2411194,0.007218543,88.96670532
8/1/1992,-5.490083218,278.7386169,0.007829125,89.73980713
9/1/1992,-4.218287945,279.1723633,0.005886578,87.79459381
10/1/1992,-4.169652462,282.7287292,0.004375446,77.9956131
11/1/1992,-3.316715717,283.4551697,0.005259493,82.35987854
